rank,object_name,count,percentage,instance_count
1,wall,14085,8.06,17832
2,chair,13046,7.47,18147
3,floor,9227,5.28,12224
4,table,5396,3.09,6629
5,Chair,3465,1.98,5593
6,window,3073,1.76,3626
7,picture,3001,1.72,3177
8,Wall,2720,1.56,4353
9,door,2408,1.38,2641
10,pillow,2209,1.26,2513
11,cabinet,2161,1.24,2317
12,Floor,2102,1.20,3663
13,paper,1865,1.07,2297
14,box,1819,1.04,2190
15,desk,1818,1.04,2343
16,book,1677,0.96,2732
17,books,1431,0.82,1573
18,bottle,1367,0.78,1595
19,Table,1329,0.76,1873
20,lamp,1286,0.74,1406
21,CHAIR,1218,0.70,1423
22,shelf,1135,0.65,1489
23,WALL,1131,0.65,1273
24,bed,1126,0.64,1194
25,sofa,1108,0.63,1162
26,ceiling,1087,0.62,1195
27,light,1003,0.57,1193
28,monitor,939,0.54,1124
29,bag,895,0.51,933
30,curtain,787,0.45,886
31,FLOOR,776,0.44,925
32,Window,773,0.44,1020
33,cup,757,0.43,855
34,mirror,689,0.39,719
35,keyboard,654,0.37,749
36,counter,647,0.37,699
37,Desk,643,0.37,1015
38,Door,586,0.34,682
39,drawer,577,0.33,771
40,clothes,514,0.29,525
41,sign,511,0.29,766
42,couch,497,0.28,604
43,sink,494,0.28,519
44,TABLE,489,0.28,562
45,dresser,475,0.27,555
46,shelves,460,0.26,490
47,bookshelf,460,0.26,493
48,mouse,459,0.26,512
49,towel,452,0.26,487
50,computer,452,0.26,501
51,blinds,423,0.24,429
52,outlet,410,0.23,493
53,plant,409,0.23,476
54,Pillow,394,0.23,585
55,unknown,383,0.22,387
56,bowl,383,0.22,424
57,cupboard,365,0.21,408
58,chairs,347,0.20,447
59,person,340,0.19,369
60,Lamp,337,0.19,451
61,whiteboard,331,0.19,356
62,Book,321,0.18,507
63,nightstand,318,0.18,337
64,trashcan,314,0.18,335
65,stool,311,0.18,393
66,board,301,0.17,318
67,faucet,295,0.17,299
68,Ceiling,293,0.17,353
69,poster,291,0.17,381
70,carpet,288,0.16,360
71,Paper,284,0.16,423
72,pillar,283,0.16,325
73,Picture,278,0.16,346
74,electricaloutlet,276,0.16,296
75,Bed,276,0.16,330
76,blanket,273,0.16,311
77,plate,272,0.16,293
78,vase,270,0.15,277
79,basket,267,0.15,284
80,rug,266,0.15,330
81,WINDOW,266,0.15,297
82,printer,260,0.15,271
83,floormat,249,0.14,256
84,Box,249,0.14,341
85,Sign,247,0.14,293
86,stand,246,0.14,253
87,tag,242,0.14,280
88,cloth,241,0.14,244
89,Monitor,239,0.14,288
90,Cabinet,232,0.13,293
91,Shelf,229,0.13,292
92,pipe,227,0.13,283
93,glass,227,0.13,286
94,Couch,226,0.13,262
95,bin,225,0.13,240
96,painting,224,0.13,244
97,handle,222,0.13,327
98,jar,220,0.13,269
99,toilet,213,0.12,216
100,papers,213,0.12,233
101,pricetag,208,0.12,291
102,rack,207,0.12,257
103,laptop,202,0.12,206
104,shoe,200,0.11,238
105,speaker,199,0.11,211
106,container,198,0.11,252
107,headboard,195,0.11,209
108,television,193,0.11,195
109,garbagebin,192,0.11,193
110,wire,191,0.11,210
111,toy,191,0.11,208
112,Mirror,191,0.11,205
113,lightswitch,186,0.11,198
114,baseboard,186,0.11,342
115,DOOR,185,0.11,199
116,Keyboard,184,0.11,206
117,microwave,181,0.10,186
118,telephone,177,0.10,178
119,Dresser,177,0.10,206
120,object,176,0.10,177
121,tissuebox,174,0.10,174
122,Computer,173,0.10,215
123,column,170,0.10,195
124,clock,169,0.10,171
125,bench,165,0.09,200
126,Light,162,0.09,207
127,Outlet,159,0.09,166
128,Curtain,156,0.09,188
129,backpack,153,0.09,158
130,photo,148,0.08,181
131,candlestick,147,0.08,147
132,stuffedanimal,146,0.08,148
133,doorframe,146,0.08,178
134,switch,146,0.08,158
135,SHELF,143,0.08,145
136,computermonitor,142,0.08,169
137,Mouse,141,0.08,159
138,ottoman,140,0.08,147
139,tray,138,0.08,148
140,frame,138,0.08,165
141,stove,135,0.08,138
142,Plant,135,0.08,191
143,Sofa,133,0.08,185
144,Carpet,132,0.08,185
145,bookcase,130,0.07,156
146,Books,130,0.07,152
147,cpu,129,0.07,134
148,oven,127,0.07,127
149,refridgerator,126,0.07,126
150,pen,125,0.07,138
151,Poster,125,0.07,167
152,doorknob,123,0.07,128
153,cord,123,0.07,175
154,mattress,121,0.07,137
155,TV,120,0.07,128
156,screen,118,0.07,126
157,Drawer,117,0.07,202
158,vent,116,0.07,140
159,coffeetable,115,0.07,117
160,remotecontrol,114,0.07,114
161,doorway,113,0.06,113
162,DESK,113,0.06,119
163,tablelamp,112,0.06,116
164,blackboard,111,0.06,118
165,phone,110,0.06,114
166,flower,109,0.06,128
167,dishwasher,108,0.06,107
168,magazine,108,0.06,131
169,countertop,105,0.06,123
170,wall2,105,0.06,110
171,machine,101,0.06,110
172,sculpture,101,0.06,101
