prompt_id,object_name,distance_meters,direction_clock,direction_degrees,is_fetchable,waypoints,warnings
1,Chair,7.88,2 o'clock (right),13.71,False,1 o'clock:1.94m,
2,chair,7.94,10 o'clock (left),-17.76,False,11 o'clock:5.28m,
3,CHAIR,7.07,2 o'clock (right),17.81,False,1 o'clock:1.45m,
4,chair,7.23,11 o'clock (slightly left),-4.41,False,11 o'clock:0.57m; 12 o'clock (straight ahead):3.51m,
5,chair,7.99,3 o'clock (far right),20.87,False,1 o'clock:3.64m,
6,Chair,-1.0,1 o'clock (slightly right),8.06,False,,Invalid depth data for object
7,chair,7.07,2 o'clock (right),10.29,False,,Could not find safe path to object
8,Cabinet,6.93,9 o'clock (far left),-20.66,False,11 o'clock:4.91m,
9,Mug,-1.0,2 o'clock (right),12.25,False,,Invalid depth data for object
10,chair,7.32,10 o'clock (left),-16.05,False,11 o'clock:4.91m,
11,notebook,5.85,3 o'clock (far right),22.8,False,1 o'clock:3.5m,
12,door,5.98,11 o'clock (slightly left),-3.19,False,12 o'clock (straight ahead):3.86m,
13,Floorlamp,7.19,9 o'clock (far left),-26.97,False,11 o'clock:5.66m,
14,chairs,6.92,11 o'clock (slightly left),-9.18,False,12 o'clock (straight ahead):1.76m; 11 o'clock:1.5m,
15,chair,7.13,11 o'clock (slightly left),-3.77,False,12 o'clock (straight ahead):4.08m,
16,CHAIR,6.79,10 o'clock (left),-12.91,False,11 o'clock:4.49m,
17,MUG,-1.0,2 o'clock (right),12.86,False,,Invalid depth data for object
18,chair,7.64,1 o'clock (slightly right),6.67,False,1 o'clock:0.46m; 12 o'clock (straight ahead):3.36m,
19,book,7.84,1 o'clock (slightly right),4.13,False,1 o'clock:0.64m; 12 o'clock (straight ahead):3.31m,
20,filecabinet,7.34,11 o'clock (slightly left),-7.95,False,12 o'clock (straight ahead):1.76m; 11 o'clock:0.36m,
21,chair3,6.79,2 o'clock (right),16.49,False,,Could not find safe path to object
22,door,7.79,10 o'clock (left),-16.84,False,11 o'clock:5.09m,
23,BOOK,7.98,1 o'clock (slightly right),3.81,False,1 o'clock:0.6m; 12 o'clock (straight ahead):3.35m,
24,Lamp,0.14,3 o'clock (far right),23.16,True,,
25,Chair,4.91,2 o'clock (right),14.34,False,1 o'clock:2.62m,
26,chair,7.84,11 o'clock (slightly left),-8.58,False,11 o'clock:4.06m,
28,chair,6.05,1 o'clock (slightly right),5.88,False,1 o'clock:0.39m; 12 o'clock (straight ahead):3.32m,
29,cushionchair,6.15,10 o'clock (left),-18.71,False,11 o'clock:4.83m,
30,door,0.52,9 o'clock (far left),-21.33,False,11 o'clock:0.36m,
31,DoorPushBar,7.47,9 o'clock (far left),-20.14,False,11 o'clock:5.32m,
32,chair,7.91,1 o'clock (slightly right),9.88,False,1 o'clock:3.66m,
33,chair,6.05,1 o'clock (slightly right),5.28,False,1 o'clock:0.64m; 12 o'clock (straight ahead):3.3m,
34,chair,7.28,10 o'clock (left),-16.99,False,11 o'clock:4.85m,
35,door,6.62,3 o'clock (far right),25.19,False,1 o'clock:4.28m,
36,chair,7.59,11 o'clock (slightly left),-6.17,False,12 o'clock (straight ahead):4.06m,
37,Chair,3.56,2 o'clock (right),17.44,False,1 o'clock:2.71m,
38,doorway,-1.0,1 o'clock (slightly right),5.17,False,,Invalid depth data for object
39,chair,3.2,9 o'clock (far left),-22.52,False,11 o'clock:3.65m,
40,chair,6.54,9 o'clock (far left),-20.82,False,11 o'clock:5.03m,
41,cabinet,7.02,10 o'clock (left),-19.31,False,11 o'clock:5.12m,
42,Chair,4.07,10 o'clock (left),-10.57,False,12 o'clock (straight ahead):3.87m,
43,CHAIR,-1.0,2 o'clock (right),10.6,False,,Invalid depth data for object
44,armchair,7.44,1 o'clock (slightly right),5.88,False,1 o'clock:0.39m; 12 o'clock (straight ahead):3.34m,
45,door,7.93,2 o'clock (right),17.03,False,1 o'clock:2.09m,
46,chair,7.74,12 o'clock (straight ahead),-2.94,False,12 o'clock (straight ahead):4.04m,
47,chair,7.86,10 o'clock (left),-15.41,False,11 o'clock:4.97m,
48,Counter/Cabinets,6.81,11 o'clock (slightly left),-9.49,False,12 o'clock (straight ahead):1.96m,
49,Lamp,3.61,9 o'clock (far left),-26.42,False,11 o'clock:4.18m,
50,Book,7.76,11 o'clock (slightly left),-6.33,False,12 o'clock (straight ahead):3.85m,
51,mug,5.73,3 o'clock (far right),26.78,False,1 o'clock:2.37m,
52,mug,7.55,12 o'clock (straight ahead),-1.31,False,12 o'clock (straight ahead):4.03m,
53,Chair,6.15,2 o'clock (right),14.99,False,1 o'clock:0.71m,
54,chair,7.53,3 o'clock (far right),25.07,False,1 o'clock:4.7m,
55,chair,-1.0,2 o'clock (right),11.34,False,,Invalid depth data for object
56,Chair,7.34,12 o'clock (straight ahead),-2.9,False,12 o'clock (straight ahead):4.04m,
57,bedsidelamp,7.66,9 o'clock (far left),-26.82,False,11 o'clock:5.66m,
58,chair,7.15,11 o'clock (slightly left),-4.61,False,12 o'clock (straight ahead):3.83m,
59,chair,6.06,2 o'clock (right),15.73,False,,Could not find safe path to object
60,tablelamp,0.81,3 o'clock (far right),26.49,False,1 o'clock:0.64m; 12 o'clock (straight ahead):0.3m,
61,DOOR,7.01,10 o'clock (left),-18.04,False,11 o'clock:4.91m,
62,book,7.65,9 o'clock (far left),-20.98,False,11 o'clock:5.34m,
63,MUG,7.71,11 o'clock (slightly left),-7.56,False,12 o'clock (straight ahead):1.76m; 11 o'clock:1.87m,
64,cabinet,4.83,1 o'clock (slightly right),9.85,False,1 o'clock:0.39m; 12 o'clock (straight ahead):3.35m,
65,chair,6.84,11 o'clock (slightly left),-9.61,False,11 o'clock:4.23m,
66,cabinet,7.11,9 o'clock (far left),-22.38,False,11 o'clock:5.06m,
67,chair,6.85,12 o'clock (straight ahead),-1.62,False,12 o'clock (straight ahead):4.03m,
68,Door,7.76,10 o'clock (left),-11.58,False,11 o'clock:4.06m,
69,mug,5.73,3 o'clock (far right),26.78,False,1 o'clock:2.37m,
70,Book,6.79,2 o'clock (right),10.29,False,1 o'clock:2.12m,
71,lamp,7.47,10 o'clock (left),-13.11,False,11 o'clock:4.21m,
72,bookcase,7.09,10 o'clock (left),-16.45,False,11 o'clock:4.8m,
73,chairwithbuiltindesk,7.46,11 o'clock (slightly left),-3.34,False,12 o'clock (straight ahead):3.81m,
74,cabinetdrawer,7.76,10 o'clock (left),-11.72,False,11 o'clock:4.57m,
75,Cabinet,7.27,2 o'clock (right),16.49,False,1 o'clock:1.31m,
76,mug,7.93,11 o'clock (slightly left),-3.68,False,12 o'clock (straight ahead):3.81m,
77,Chairleg,5.82,2 o'clock (right),15.69,False,1 o'clock:3.54m,
78,chair,7.53,3 o'clock (far right),25.07,False,1 o'clock:4.7m,
79,books,-1.0,11 o'clock (slightly left),-9.47,False,,Invalid depth data for object
80,chair,6.87,2 o'clock (right),17.56,False,,Could not find safe path to object
81,Chair,5.3,10 o'clock (left),-17.4,False,,Could not find safe path to object
82,chairs,6.69,11 o'clock (slightly left),-9.07,False,12 o'clock (straight ahead):1.76m; 11 o'clock:0.73m,
83,Chair,7.29,2 o'clock (right),10.89,False,1 o'clock:3.29m,
84,Cabinet,6.93,9 o'clock (far left),-20.66,False,11 o'clock:4.91m,
85,chair,5.64,10 o'clock (left),-14.78,False,11 o'clock:4.25m,
86,chair1,6.74,2 o'clock (right),13.98,False,1 o'clock:1.53m,
87,filecabinet,7.4,12 o'clock (straight ahead),-0.91,False,12 o'clock (straight ahead):4.0m,
88,glassdoor,7.63,10 o'clock (left),-15.65,False,11 o'clock:4.61m,
89,CHAIR,-1.0,10 o'clock (left),-14.82,False,,Invalid depth data for object
90,Chair,7.76,12 o'clock (straight ahead),1.11,False,12 o'clock (straight ahead):3.7m,
91,chair,6.89,2 o'clock (right),15.77,False,1 o'clock:2.09m,
92,mug,7.25,2 o'clock (right),19.55,False,1 o'clock:3.36m,
93,lampleg,2.35,3 o'clock (far right),26.46,False,1 o'clock:0.88m,
94,chair,6.84,12 o'clock (straight ahead),-2.03,False,12 o'clock (straight ahead):4.02m,
95,Chair,7.71,3 o'clock (far right),21.29,False,1 o'clock:4.84m,
96,door,0.7,9 o'clock (far left),-23.48,False,11 o'clock:0.78m,
97,Lamp,7.28,10 o'clock (left),-17.96,False,11 o'clock:5.09m,
98,cabinetknob,7.84,10 o'clock (left),-19.19,False,11 o'clock:5.42m,
99,door,7.43,10 o'clock (left),-15.7,False,11 o'clock:4.59m,
100,RollingChair,6.62,10 o'clock (left),-18.47,False,11 o'clock:4.97m,
101,chair,7.2,10 o'clock (left),-18.14,False,11 o'clock:4.61m,
