prompt_id,image_name,model_name,gt_object,gt_distance_m,gt_direction,gt_scene,parse_success,found_predicted,found_score,predicted_distance_meters,predicted_direction_o_clock,score_object_location_desc,score_object_location_detailed,score_distance,score_direction,score_navigation,score_hand_guidance,score_fallback,total_score,max_score,percentage,parse_error
1,0001_001402_2014-06-19_16-12-57_260595134347_rgbf000056-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Chair,2.32,2 o'clock,office,TRUE,TRUE,5,1.5,9,4,3,3,2,3,4,5,29,40,72.50%,
2,0002_000149_2014-05-20_17-21-34_260595134347_rgbf000130-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,2.16,2 o'clock,recreation_room,TRUE,TRUE,5,1,9,4,2,2,2,4,5,0,24,40,60.00%,
3,0003_0000414-000014076720.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,CHAIR,0.82,2 o'clock,classroom,TRUE,TRUE,5,,9,4,4,0,2,4,5,3,27,40,67.50%,
4,0004_000536_2014-06-08_17-27-10_260595134347_rgbf000195-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,2.14,3 o'clock,discussion_area,TRUE,TRUE,5,1.5,9,3,4,3,2,4,5,4,30,40,75.00%,
5,0005_2014_10_28-15_30_11-1311000073.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,3.79,4 o'clock,library,TRUE,TRUE,5,2,6,3,4,2,2,4,5,4,29,40,72.50%,
6,0006_img_0665.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Chair,1.32,3 o'clock,dining_room,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
7,0007_002369_2014-06-28_20-12-01_260595134347_rgbf000074-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,2.04,2 o'clock,furniture_store,TRUE,TRUE,5,0.5,9,2,4,1,2,4,5,4,27,40,67.50%,
8,0008_0001598-000053548626.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Cabinet,4.92,4 o'clock,classroom,TRUE,TRUE,5,2,9,2,2,2,1,3,4,4,23,40,57.50%,
9,0009_img_0209.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,Mug,1.2,3 o'clock,office,TRUE,TRUE,5,,9,4,4,0,2,4,5,4,28,40,70.00%,
10,0010_001132_2014-06-17_14-48-54_260595134347_rgbf000100-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,chair,1.77,3 o'clock,dining_room,TRUE,TRUE,5,1.5,8,3,0,3,2,4,4,5,26,40,65.00%,
11,0011_000619_2014-06-08_18-18-30_260595134347_rgbf000087-resize.jpg,./finetuned_models/LoRA-SpaceThinker-Qwen2.5-VL-7B-Instruct/epoch-3,notebook,0.63,2 o'clock,office,TRUE,FALSE,0,,,0,0,0,0,0,0,0,0,40,0.00%,
